class_id,name,description
"61","boa_constrictor","boa constrictor, Constrictor constrictor"
"62","rock_python","rock python, rock snake, Python sebae"
"63","Indian_cobra","Indian cobra, Naja naja"
"64","green_mamba","green mamba"
"65","sea_snake","sea snake"
"66","horned_viper","horned viper, cerastes, sand viper, horned asp, Cerastes cornutus"
"67","diamondback","diamondback, diamondback rattlesnake, Crotalus adamanteus"
"68","sidewinder","sidewinder, horned rattlesnake, Crotalus cerastes"
"69","trilobite","trilobite"
"70","harvestman","harvestman, daddy longlegs, Phalangium opilio"
"71","scorpion","scorpion"
"72","black_and_gold_garden_spider","black and gold garden spider, Argiope aurantia"
"73","barn_spider","barn spider, Araneus cavaticus"
"74","garden_spider","garden spider, Aranea diademata"
"75","black_widow","black widow, Latrodectus mactans"
"76","tarantula","tarantula"
"77","wolf_spider","wolf spider, hunting spider"
"78","tick","tick"
"79","centipede","centipede"
"80","black_grouse","black grouse"
"81","ptarmigan","ptarmigan"
"82","ruffed_grouse","ruffed grouse, partridge, Bonasa umbellus"
"83","prairie_chicken","prairie chicken, prairie grouse, prairie fowl"
"84","peacock","peacock"
"85","quail","quail"
"86","partridge","partridge"
"87","African_grey","African grey, African gray, Psittacus erithacus"
"88","macaw","macaw"
"89","sulphur-crested_cockatoo","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita"
"90","lorikeet","lorikeet"
"91","coucal","coucal"
"92","bee_eater","bee eater"
"93","hornbill","hornbill"
"94","hummingbird","hummingbird"
"95","jacamar","jacamar"
"96","toucan","toucan"
"97","drake","drake"
"98","red-breasted_merganser","red-breasted merganser, Mergus serrator"
"99","goose","goose"
"100","black_swan","black swan, Cygnus atratus"
"101","tusker","tusker"
"102","echidna","echidna, spiny anteater, anteater"
"103","platypus","platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"
"104","wallaby","wallaby, brush kangaroo"
"105","koala","koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
"106","wombat","wombat"
"107","jellyfish","jellyfish"
"108","sea_anemone","sea anemone, anemone"
"109","brain_coral","brain coral"
"110","flatworm","flatworm, platyhelminth"
"111","nematode","nematode, nematode worm, roundworm"
"112","conch","conch"
"113","snail","snail"
"114","slug","slug"
"115","sea_slug","sea slug, nudibranch"
"116","chiton","chiton, coat-of-mail shell, sea cradle, polyplacophore"
"117","chambered_nautilus","chambered nautilus, pearly nautilus, nautilus"
"118","Dungeness_crab","Dungeness crab, Cancer magister"
"119","rock_crab","rock crab, Cancer irroratus"
"120","fiddler_crab","fiddler crab"
"121","king_crab","king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica"
"122","American_lobster","American lobster, Northern lobster, Maine lobster, Homarus americanus"
"123","spiny_lobster","spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish"
"124","crayfish","crayfish, crawfish, crawdad, crawdaddy"
"125","hermit_crab","hermit crab"
"126","isopod","isopod"
"127","white_stork","white stork, Ciconia ciconia"
"128","black_stork","black stork, Ciconia nigra"
"129","spoonbill","spoonbill"
"130","flamingo","flamingo"
"131","little_blue_heron","little blue heron, Egretta caerulea"
"132","American_egret","American egret, great white heron, Egretta albus"
"133","bittern","bittern"
"134","crane","crane, bird"
"135","limpkin","limpkin, Aramus pictus"
"136","European_gallinule","European gallinule, Porphyrio porphyrio"
"137","American_coot","American coot, marsh hen, mud hen, water hen, Fulica americana"
"138","bustard","bustard"
"139","ruddy_turnstone","ruddy turnstone, Arenaria interpres"
"140","red-backed_sandpiper","red-backed sandpiper, dunlin, Erolia alpina"
"141","redshank","redshank, Tringa totanus"
"142","dowitcher","dowitcher"
"143","oystercatcher","oystercatcher, oyster catcher"
"144","pelican","pelican"
"145","king_penguin","king penguin, Aptenodytes patagonica"
"146","albatross","albatross, mollymawk"
"147","grey_whale","grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus"
"148","killer_whale","killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
"149","dugong","dugong, Dugong dugon"
"150","sea_lion","sea lion"
"151","Chihuahua","Chihuahua"
"152","Japanese_spaniel","Japanese spaniel"
"153","Maltese_dog","Maltese dog, Maltese terrier, Maltese"
"154","Pekinese","Pekinese, Pekingese, Peke"
"155","Shih-Tzu","Shih-Tzu"
"156","Blenheim_spaniel","Blenheim spaniel"
"157","papillon","papillon"
"158","toy_terrier","toy terrier"
"159","Rhodesian_ridgeback","Rhodesian ridgeback"
"160","Afghan_hound","Afghan hound, Afghan"
"161","basset","basset, basset hound"
"162","beagle","beagle"
"163","bloodhound","bloodhound, sleuthhound"
"164","bluetick","bluetick"
"165","black-and-tan_coonhound","black-and-tan coonhound"
"166","Walker_hound","Walker hound, Walker foxhound"
"167","English_foxhound","English foxhound"
"168","redbone","redbone"
"169","borzoi","borzoi, Russian wolfhound"
"170","Irish_wolfhound","Irish wolfhound"
"171","Italian_greyhound","Italian greyhound"
"172","whippet","whippet"
"173","Ibizan_hound","Ibizan hound, Ibizan Podenco"
"174","Norwegian_elkhound","Norwegian elkhound, elkhound"
"175","otterhound","otterhound, otter hound"
"176","Saluki","Saluki, gazelle hound"
"177","Scottish_deerhound","Scottish deerhound, deerhound"
"178","Weimaraner","Weimaraner"
"179","Staffordshire_bullterrier","Staffordshire bullterrier, Staffordshire bull terrier"
"180","American_Staffordshire_terrier","American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"
"181","Bedlington_terrier","Bedlington terrier"
"182","Border_terrier","Border terrier"
"183","Kerry_blue_terrier","Kerry blue terrier"
"184","Irish_terrier","Irish terrier"
"185","Norfolk_terrier","Norfolk terrier"
"186","Norwich_terrier","Norwich terrier"
"187","Yorkshire_terrier","Yorkshire terrier"
"188","wire-haired_fox_terrier","wire-haired fox terrier"
"189","Lakeland_terrier","Lakeland terrier"
"190","Sealyham_terrier","Sealyham terrier, Sealyham"
"191","Airedale","Airedale, Airedale terrier"
"192","cairn","cairn, cairn terrier"
"193","Australian_terrier","Australian terrier"
"194","Dandie_Dinmont","Dandie Dinmont, Dandie Dinmont terrier"
"195","Boston_bull","Boston bull, Boston terrier"
"196","miniature_schnauzer","miniature schnauzer"
"197","giant_schnauzer","giant schnauzer"
"198","standard_schnauzer","standard schnauzer"
"199","Scotch_terrier","Scotch terrier, Scottish terrier, Scottie"
"200","Tibetan_terrier","Tibetan terrier, chrysanthemum dog"
"201","silky_terrier","silky terrier, Sydney silky"
"202","soft-coated_wheaten_terrier","soft-coated wheaten terrier"
"203","West_Highland_white_terrier","West Highland white terrier"
"204","Lhasa","Lhasa, Lhasa apso"
"205","flat-coated_retriever","flat-coated retriever"
"206","curly-coated_retriever","curly-coated retriever"
"207","golden_retriever","golden retriever"
"208","Labrador_retriever","Labrador retriever"
"209","Chesapeake_Bay_retriever","Chesapeake Bay retriever"
"210","German_short-haired_pointer","German short-haired pointer"
"211","vizsla","vizsla, Hungarian pointer"
"212","English_setter","English setter"
"213","Irish_setter","Irish setter, red setter"
"214","Gordon_setter","Gordon setter"
"215","Brittany_spaniel","Brittany spaniel"
"216","clumber","clumber, clumber spaniel"
"217","English_springer","English springer, English springer spaniel"
"218","Welsh_springer_spaniel","Welsh springer spaniel"
"219","cocker_spaniel","cocker spaniel, English cocker spaniel, cocker"
"220","Sussex_spaniel","Sussex spaniel"
"221","Irish_water_spaniel","Irish water spaniel"
"222","kuvasz","kuvasz"
"223","schipperke","schipperke"
"224","groenendael","groenendael"
"225","malinois","malinois"
"226","briard","briard"
"227","kelpie","kelpie"
"228","komondor","komondor"
"229","Old_English_sheepdog","Old English sheepdog, bobtail"
"230","Shetland_sheepdog","Shetland sheepdog, Shetland sheep dog, Shetland"
"231","collie","collie"
"232","Border_collie","Border collie"
"233","Bouvier_des_Flandres","Bouvier des Flandres, Bouviers des Flandres"
"234","Rottweiler","Rottweiler"
"235","German_shepherd","German shepherd, German shepherd dog, German police dog, alsatian"
"236","Doberman","Doberman, Doberman pinscher"
"237","miniature_pinscher","miniature pinscher"
"238","Greater_Swiss_Mountain_dog","Greater Swiss Mountain dog"
"239","Bernese_mountain_dog","Bernese mountain dog"
"240","Appenzeller","Appenzeller"
"241","EntleBucher","EntleBucher"
"242","boxer","boxer"
"243","bull_mastiff","bull mastiff"
"244","Tibetan_mastiff","Tibetan mastiff"
"245","French_bulldog","French bulldog"
"246","Great_Dane","Great Dane"
"247","Saint_Bernard","Saint Bernard, St Bernard"
"248","Eskimo_dog","Eskimo dog, husky"
"249","malamute","malamute, malemute, Alaskan malamute"
"250","Siberian_husky","Siberian husky"
"251","dalmatian","dalmatian, coach dog, carriage dog"
"252","affenpinscher","affenpinscher, monkey pinscher, monkey dog"
"253","basenji","basenji"
"254","pug","pug, pug-dog"
"255","Leonberg","Leonberg"
"256","Newfoundland","Newfoundland, Newfoundland dog"
"257","Great_Pyrenees","Great Pyrenees"
"258","Samoyed","Samoyed, Samoyede"
"259","Pomeranian","Pomeranian"
"260","chow","chow, chow chow"
"261","keeshond","keeshond"
"262","Brabancon_griffon","Brabancon griffon"
"263","Pembroke","Pembroke, Pembroke Welsh corgi"
"264","Cardigan","Cardigan, Cardigan Welsh corgi"
"265","toy_poodle","toy poodle"
"266","miniature_poodle","miniature poodle"
"267","standard_poodle","standard poodle"
"268","Mexican_hairless","Mexican hairless"
"269","timber_wolf","timber wolf, grey wolf, gray wolf, Canis lupus"
"270","white_wolf","white wolf, Arctic wolf, Canis lupus tundrarum"
"271","red_wolf","red wolf, maned wolf, Canis rufus, Canis niger"
"272","coyote","coyote, prairie wolf, brush wolf, Canis latrans"
"273","dingo","dingo, warrigal, warragal, Canis dingo"
"274","dhole","dhole, Cuon alpinus"
"275","African_hunting_dog","African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus"
"276","hyena","hyena, hyaena"
"277","red_fox","red fox, Vulpes vulpes"
"278","kit_fox","kit fox, Vulpes macrotis"
"279","Arctic_fox","Arctic fox, white fox, Alopex lagopus"
"280","grey_fox","grey fox, gray fox, Urocyon cinereoargenteus"
"281","tabby","tabby, tabby cat"
"282","tiger_cat","tiger cat"
"283","Persian_cat","Persian cat"
"284","Siamese_cat","Siamese cat, Siamese"
"285","Egyptian_cat","Egyptian cat"
"286","cougar","cougar, puma, catamount, mountain lion, painter, panther, Felis concolor"
"287","lynx","lynx, catamount"
"288","leopard","leopard, Panthera pardus"
"289","snow_leopard","snow leopard, ounce, Panthera uncia"
"290","jaguar","jaguar, panther, Panthera onca, Felis onca"
"291","lion","lion, king of beasts, Panthera leo"
"292","tiger","tiger, Panthera tigris"
"293","cheetah","cheetah, chetah, Acinonyx jubatus"
"294","brown_bear","brown bear, bruin, Ursus arctos"
"295","American_black_bear","American black bear, black bear, Ursus americanus, Euarctos americanus"
"296","ice_bear","ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
"297","sloth_bear","sloth bear, Melursus ursinus, Ursus ursinus"
"298","mongoose","mongoose"
"299","meerkat","meerkat, mierkat"
"300","tiger_beetle","tiger beetle"
"301","ladybug","ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle"
"302","ground_beetle","ground beetle, carabid beetle"
"303","long-horned_beetle","long-horned beetle, longicorn, longicorn beetle"
"304","leaf_beetle","leaf beetle, chrysomelid"
"305","dung_beetle","dung beetle"
"306","rhinoceros_beetle","rhinoceros beetle"
"307","weevil","weevil"
"308","fly","fly"
"309","bee","bee"
"310","ant","ant, emmet, pismire"
"311","grasshopper","grasshopper, hopper"
"312","cricket","cricket"
"313","walking_stick","walking stick, walkingstick, stick insect"
"314","cockroach","cockroach, roach"
"315","mantis","mantis, mantid"
"316","cicada","cicada, cicala"
"317","leafhopper","leafhopper"
"318","lacewing","lacewing, lacewing fly"
"319","dragonfly","dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"
"320","damselfly","damselfly"
"321","admiral","admiral"
"322","ringlet","ringlet, ringlet butterfly"
"323","monarch","monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
"324","cabbage_butterfly","cabbage butterfly"
"325","sulphur_butterfly","sulphur butterfly, sulfur butterfly"
"326","lycaenid","lycaenid, lycaenid butterfly"
"327","starfish","starfish, sea star"
"328","sea_urchin","sea urchin"
"329","sea_cucumber","sea cucumber, holothurian"
"330","wood_rabbit","wood rabbit, cottontail, cottontail rabbit"
"331","hare","hare"
"332","Angora","Angora, Angora rabbit"
"333","hamster","hamster"
"334","porcupine","porcupine, hedgehog"
"335","fox_squirrel","fox squirrel, eastern fox squirrel, Sciurus niger"
"336","marmot","marmot"
"337","beaver","beaver"
"338","guinea_pig","guinea pig, Cavia cobaya"
"339","sorrel","sorrel"
"340","zebra","zebra"
"341","hog","hog, pig, grunter, squealer, Sus scrofa"
"342","wild_boar","wild boar, boar, Sus scrofa"
"343","warthog","warthog"
"344","hippopotamus","hippopotamus, hippo, river horse, Hippopotamus amphibius"
"345","ox","ox"
"346","water_buffalo","water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"
"347","bison","bison"
"348","ram","ram, tup"
"349","bighorn","bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
"350","ibex","ibex, Capra ibex"
"351","hartebeest","hartebeest"
"352","impala","impala, Aepyceros melampus"
"353","gazelle","gazelle"
"354","Arabian_camel","Arabian camel, dromedary, Camelus dromedarius"
"355","llama","llama"
"356","weasel","weasel"
"357","mink","mink"
"358","polecat","polecat, fitch, foulmart, foumart, Mustela putorius"
"359","black-footed_ferret","black-footed ferret, ferret, Mustela nigripes"
"360","otter","otter"
"361","skunk","skunk, polecat, wood pussy"
"362","badger","badger"
"363","armadillo","armadillo"
"364","three-toed_sloth","three-toed sloth, ai, Bradypus tridactylus"
"365","orangutan","orangutan, orang, orangutang, Pongo pygmaeus"
"366","gorilla","gorilla, Gorilla gorilla"
"367","chimpanzee","chimpanzee, chimp, Pan troglodytes"
"368","gibbon","gibbon, Hylobates lar"
"369","siamang","siamang, Hylobates syndactylus, Symphalangus syndactylus"
"370","guenon","guenon, guenon monkey"
"371","patas","patas, hussar monkey, Erythrocebus patas"
"372","baboon","baboon"
"373","macaque","macaque"
"374","langur","langur"
"375","colobus","colobus, colobus monkey"
"376","proboscis_monkey","proboscis monkey, Nasalis larvatus"
"377","marmoset","marmoset"
"378","capuchin","capuchin, ringtail, Cebus capucinus"
"379","howler_monkey","howler monkey, howler"
"380","titi","titi, titi monkey"
"381","spider_monkey","spider monkey, Ateles geoffroyi"
"382","squirrel_monkey","squirrel monkey, Saimiri sciureus"
"383","Madagascar_cat","Madagascar cat, ring-tailed lemur, Lemur catta"
"384","indri","indri, indris, Indri indri, Indri brevicaudatus"
"385","Indian_elephant","Indian elephant, Elephas maximus"
"386","African_elephant","African elephant, Loxodonta africana"
"387","lesser_panda","lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens"
"388","giant_panda","giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca"
"389","barracouta","barracouta, snoek"
"390","eel","eel"
"391","coho","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
"392","rock_beauty","rock beauty, Holocanthus tricolor"
"393","anemone_fish","anemone fish"
"394","sturgeon","sturgeon"
"395","gar","gar, garfish, garpike, billfish, Lepisosteus osseus"
"396","lionfish","lionfish"
"397","puffer","puffer, pufferfish, blowfish, globefish"
"398","abacus","abacus"
"399","abaya","abaya"
"400","academic_gown","academic gown, academic robe, judge's robe"
"401","accordion","accordion, piano accordion, squeeze box"
"402","acoustic_guitar","acoustic guitar"
"403","aircraft_carrier","aircraft carrier, carrier, flattop, attack aircraft carrier"
"404","airliner","airliner"
"405","airship","airship, dirigible"
"406","altar","altar"
"407","ambulance","ambulance"
"408","amphibian","amphibian, amphibious vehicle"
"409","analog_clock","analog clock"
"410","apiary","apiary, bee house"
"411","apron","apron"
"412","ashcan","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin"
"413","assault_rifle","assault rifle, assault gun"
"414","backpack","backpack, back pack, knapsack, packsack, rucksack, haversack"
"415","bakery","bakery, bakeshop, bakehouse"
"416","balance_beam","balance beam, beam"
"417","balloon","balloon"
"418","ballpoint","ballpoint, ballpoint pen, ballpen, Biro"
"419","Band_Aid","Band Aid"
"420","banjo","banjo"
"421","bannister","bannister, banister, balustrade, balusters, handrail"
"422","barbell","barbell"
"423","barber_chair","barber chair"
"424","barbershop","barbershop"
"425","barn","barn"
"426","barometer","barometer"
"427","barrel","barrel, cask"
"428","barrow","barrow, garden cart, lawn cart, wheelbarrow"
"429","baseball","baseball"
"430","basketball","basketball"
"431","bassinet","bassinet"
"432","bassoon","bassoon"
"433","bathing_cap","bathing cap, swimming cap"
"434","bath_towel","bath towel"
"435","bathtub","bathtub, bathing tub, bath, tub"
"436","beach_wagon","beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
"437","beacon","beacon, lighthouse, beacon light, pharos"
"438","beaker","beaker"
"439","bearskin","bearskin, busby, shako"
"440","beer_bottle","beer bottle"
"441","beer_glass","beer glass"
"442","bell_cote","bell cote, bell cot"
"443","bib","bib"
"444","bicycle-built-for-two","bicycle-built-for-two, tandem bicycle, tandem"
"445","bikini","bikini, two-piece"
"446","binder","binder, ring-binder"
"447","binoculars","binoculars, field glasses, opera glasses"
"448","birdhouse","birdhouse"
"449","boathouse","boathouse"
"450","bobsled","bobsled, bobsleigh, bob"
"451","bolo_tie","bolo tie, bolo, bola tie, bola"
"452","bonnet","bonnet, poke bonnet"
"453","bookcase","bookcase"
"454","bookshop","bookshop, bookstore, bookstall"
"455","bottlecap","bottlecap"
"456","bow","bow"
"457","bow_tie","bow tie, bow-tie, bowtie"
"458","brass","brass, memorial tablet, plaque"
"459","brassiere","brassiere, bra, bandeau"
"460","breakwater","breakwater, groin, groyne, mole, bulwark, seawall, jetty"
"461","breastplate","breastplate, aegis, egis"
"462","broom","broom"
"463","bucket","bucket, pail"
"464","buckle","buckle"
"465","bulletproof_vest","bulletproof vest"
"466","bullet_train","bullet train, bullet"
"467","butcher_shop","butcher shop, meat market"
"468","cab","cab, hack, taxi, taxicab"
"469","caldron","caldron, cauldron"
"470","candle","candle, taper, wax light"
"471","cannon","cannon"
"472","canoe","canoe"
"473","can_opener","can opener, tin opener"
"474","cardigan","cardigan"
"475","car_mirror","car mirror"
"476","carousel","carousel, carrousel, merry-go-round, roundabout, whirligig"
"477","carpenter's_kit","carpenter's kit, tool kit"
"478","carton","carton"
"479","car_wheel","car wheel"
"480","cash_machine","cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM"
"481","cassette","cassette"
"482","cassette_player","cassette player"
"483","castle","castle"
"484","catamaran","catamaran"
"485","CD_player","CD player"
"486","cello","cello, violoncello"
"487","cellular_telephone","cellular telephone, cellular phone, cellphone, cell, mobile phone"
"488","chain","chain"
"489","chainlink_fence","chainlink fence"
"490","chain_mail","chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour"
"491","chain_saw","chain saw, chainsaw"
"492","chest","chest"
"493","chiffonier","chiffonier, commode"
"494","chime","chime, bell, gong"
"495","china_cabinet","china cabinet, china closet"
"496","Christmas_stocking","Christmas stocking"
"497","church","church, church building"
"498","cinema","cinema, movie theater, movie theatre, movie house, picture palace"
"499","cleaver","cleaver, meat cleaver, chopper"
"500","cliff_dwelling","cliff dwelling"
"501","cloak","cloak"
"502","clog","clog, geta, patten, sabot"
"503","cocktail_shaker","cocktail shaker"
"504","coffee_mug","coffee mug"
"505","coffeepot","coffeepot"
"506","coil","coil, spiral, volute, whorl, helix"
"507","combination_lock","combination lock"
"508","computer_keyboard","computer keyboard, keypad"
"509","confectionery","confectionery, confectionary, candy store"
"510","container_ship","container ship, containership, container vessel"
"511","convertible","convertible"
"512","corkscrew","corkscrew, bottle screw"
"513","cornet","cornet, horn, trumpet, trump"
"514","cowboy_boot","cowboy boot"
"515","cowboy_hat","cowboy hat, ten-gallon hat"
"516","cradle","cradle"
"517","crane","crane"
"518","crash_helmet","crash helmet"
"519","crate","crate"
"520","crib","crib, cot"
"521","Crock_Pot","Crock Pot"
"522","croquet_ball","croquet ball"
"523","crutch","crutch"
"524","cuirass","cuirass"
"525","dam","dam, dike, dyke"
"526","desk","desk"
"527","desktop_computer","desktop computer"
"528","dial_telephone","dial telephone, dial phone"
"529","diaper","diaper, nappy, napkin"
"530","digital_clock","digital clock"
"531","digital_watch","digital watch"
"532","dining_table","dining table, board"
"533","dishrag","dishrag, dishcloth"
"534","dishwasher","dishwasher, dish washer, dishwashing machine"
"535","disk_brake","disk brake, disc brake"
"536","dock","dock, dockage, docking facility"
"537","dogsled","dogsled, dog sled, dog sleigh"
"538","dome","dome"
"539","doormat","doormat, welcome mat"
"540","drilling_platform","drilling platform, offshore rig"
"541","drum","drum, membranophone, tympan"
"542","drumstick","drumstick"
"543","dumbbell","dumbbell"
"544","Dutch_oven","Dutch oven"
"545","electric_fan","electric fan, blower"
"546","electric_guitar","electric guitar"
"547","electric_locomotive","electric locomotive"
"548","entertainment_center","entertainment center"
"549","envelope","envelope"
"550","espresso_maker","espresso maker"
"551","face_powder","face powder"
"552","feather_boa","feather boa, boa"
"553","file","file, file cabinet, filing cabinet"
"554","fireboat","fireboat"
"555","fire_engine","fire engine, fire truck"
"556","fire_screen","fire screen, fireguard"
"557","flagpole","flagpole, flagstaff"
"558","flute","flute, transverse flute"
"559","folding_chair","folding chair"
"560","football_helmet","football helmet"
"561","forklift","forklift"
"562","fountain","fountain"
"563","fountain_pen","fountain pen"
"564","four-poster","four-poster"
"565","freight_car","freight car"
"566","French_horn","French horn, horn"
"567","frying_pan","frying pan, frypan, skillet"
"568","fur_coat","fur coat"
"569","garbage_truck","garbage truck, dustcart"
"570","gasmask","gasmask, respirator, gas helmet"
"571","gas_pump","gas pump, gasoline pump, petrol pump, island dispenser"
"572","goblet","goblet"
"573","go-kart","go-kart"
"574","golf_ball","golf ball"
"575","golfcart","golfcart, golf cart"
"576","gondola","gondola"
"577","gong","gong, tam-tam"
"578","gown","gown"
"579","grand_piano","grand piano, grand"
"580","greenhouse","greenhouse, nursery, glasshouse"
"581","grille","grille, radiator grille"
"582","grocery_store","grocery store, grocery, food market, market"
"583","guillotine","guillotine"
"584","hair_slide","hair slide"
"585","hair_spray","hair spray"
"586","half_track","half track"
"587","hammer","hammer"
"588","hamper","hamper"
"589","hand_blower","hand blower, blow dryer, blow drier, hair dryer, hair drier"
"590","hand-held_computer","hand-held computer, hand-held microcomputer"
"591","handkerchief","handkerchief, hankie, hanky, hankey"
"592","hard_disc","hard disc, hard disk, fixed disk"
"593","harmonica","harmonica, mouth organ, harp, mouth harp"
"594","harp","harp"
"595","harvester","harvester, reaper"
"596","hatchet","hatchet"
"597","holster","holster"
"598","home_theater","home theater, home theatre"
"599","honeycomb","honeycomb"
"600","hook","hook, claw"
"601","hoopskirt","hoopskirt, crinoline"
"602","horizontal_bar","horizontal bar, high bar"
"603","horse_cart","horse cart, horse-cart"
"604","hourglass","hourglass"
"605","iPod","iPod"
"606","iron","iron, smoothing iron"
"607","jack-o'-lantern","jack-o'-lantern"
"608","jean","jean, blue jean, denim"
"609","jeep","jeep, landrover"
"610","jersey","jersey, T-shirt, tee shirt"
"611","jigsaw_puzzle","jigsaw puzzle"
"612","jinrikisha","jinrikisha, ricksha, rickshaw"
"613","joystick","joystick"
"614","kimono","kimono"
"615","knee_pad","knee pad"
"616","knot","knot"
"617","lab_coat","lab coat, laboratory coat"
"618","ladle","ladle"
"619","lampshade","lampshade, lamp shade"
"620","laptop","laptop, laptop computer"
"621","lawn_mower","lawn mower, mower"
"622","lens_cap","lens cap, lens cover"
"623","letter_opener","letter opener, paper knife, paperknife"
"624","library","library"
"625","lifeboat","lifeboat"
"626","lighter","lighter, light, igniter, ignitor"
"627","limousine","limousine, limo"
"628","liner","liner, ocean liner"
"629","lipstick","lipstick, lip rouge"
"630","Loafer","Loafer"
"631","lotion","lotion"
"632","loudspeaker","loudspeaker, speaker, speaker unit, loudspeaker system, speaker system"
"633","loupe","loupe, jeweler's loupe"
"634","lumbermill","lumbermill, sawmill"
"635","magnetic_compass","magnetic compass"
"636","mailbag","mailbag, postbag"
"637","mailbox","mailbox, letter box"
"638","maillot","maillot"
"639","maillot","maillot, tank suit"
"640","manhole_cover","manhole cover"
"641","maraca","maraca"
"642","marimba","marimba, xylophone"
"643","mask","mask"
"644","matchstick","matchstick"
"645","maypole","maypole"
"646","maze","maze, labyrinth"
"647","measuring_cup","measuring cup"
"648","medicine_chest","medicine chest, medicine cabinet"
"649","megalith","megalith, megalithic structure"
"650","microphone","microphone, mike"
"651","microwave","microwave, microwave oven"
"652","military_uniform","military uniform"
"653","milk_can","milk can"
"654","minibus","minibus"
